threads;1;2;4;8;16;32;;
chrono;0,826036;0,572158;0,50178;0,517938;0,512814;0,507072;;
time unix;0,907;0,484;0,562;0,478;0,48;0,486;(1 esecuzione);
ctime;0,0001777;0,0001744;0,0001752;0,0001583;0,0001562;0,0001603;;secondi
timeofday;0,748235;0,519924;0,510714;0,505931;0,505489;0,5331;;
